application,brand_name,capacity,category,closure,color,company_name,condition,currency,delivery_time,design,fob_port,fabric_type,feature,gstin,gender,grade,main_domestic_market,main_export_market(s),material,minimum_order_quantity,minimum_ordered_packs,mop,moq,occasion,packaging_details,packsize,pattern,payment_terms,plastic_type,price,price_type,product_link,product_name,product_type,product_unit,returnable,sample_available,sample_policy,season,shape,size,stock_quantity,style,supply_ability,surface_materials,type,unit_type,usage,volume_(l),weight,work_type,is_stainless,product_name_clean,capacity_liters,row_num
,,1000-5000 Ltr/hr,Water Storage Tanks,,Blue,INDIA COMPOSITES AND INDUSTRIAL WORKS,NEW,,2-10 Days,,,,,,,Industrial grade,All India,,,,,,,,,,,,,,,https://www.tradeindia.com/products/frp-ug-water-storage-tank-c9896170.html,Frp Ug Water Storage Tank - Capacity: 1000-5000 Ltr/Hr,,,,,,,,Standard,,,100 Per Month,,,,Store water,,,,False,frp ug water storage tank  capacity 10005000 ltrhr,1000.0,55
,,,Water Storage Tanks,,,SRI SAI KRISHNA FIBRE PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/frp-water-storage-tanks-c6684062.html,"FRP Water Storage Tanks - Durable Fiberglass Reinforced Plastic, Leak-Resistant Design for Long-Lasting Performance",,,,,,,,,,,,,,,,,,,False,frp water storage tanks  durable fiberglass reinforced plastic leakresistant design for longlasting performance,,56
,,,Textile,,Different Available,NIVA CREATION,,,10 Days,Modern,,,Washable,,Female,,All India,,,,,,,Party Wear,,,Hand Print,,,,,https://www.tradeindia.com/products/organza-silk-saree-c10295918.html,"Organza Silk Saree - High-Quality Organza Silk, Available in Sizes S, M, L, XL | Hand Embroidery Work, Modern Hand Print Design, Washable for Effortless Care",,,,,,Winter Summer,,SMLXL,,,3000 Per Month,,,,,,,Hand Embroidery,False,organza silk saree  highquality organza silk available in sizes s m l xl  hand embroidery work modern hand print design washable for effortless care,,57
,WINASIA GLOBAL VENTURES LLP,,Textile,,Pink,WINASIA GLOBAL VENTURES LLP,,INR,20-25 Days,,,,,0%,,,All India,,Silk,100,100,100,100,Party Wear,,1,Printed,Cash Advance (CA),,4040.00 INR (Approx.),fixed,https://www.tradeindia.com/products/gadhwal-silk-sarees-with-blouse-c8677121.html,Pink Gadhwal Silk Sarees With Blouse,Gadhwal Silk Sarees With Blouse,100 Unit/Units,False,,,Summer,,,1000,,5000 Per Month,,,Unit/Units,,,,,False,pink gadhwal silk sarees with blouse,,58
,,,Textile,,Other Customized Color,VIHAA PRINT AND PACK PRIVATE LIMITED,,,,,,,,,,,,,Other Paper Board,,,,,,,,,,,,,https://www.tradeindia.com/products/colorful-cardboard-clothing-saree-packaging-box-c10197859.html,Colorful Cardboard Clothing Saree packaging Box,Other Colorful Cardboard Clothing Saree packaging Box,,,,,,Other Different Shape,,,,,,,,,,,,False,colorful cardboard clothing saree packaging box,,59
,,,Textile,,,SAHIK PRIVATE LIMITED,,,1 Week,,,,,,,,All India,Asia,Silk,,,,,,,,Floral Print,Cash Against Delivery (CAD) Cash on Delivery (COD) Cash Advance (CA) Cash in Advance (CID),,,,https://www.tradeindia.com/products/ladies-assam-silk-saree-for-party-wear-8537787.html,Ladies Assam Silk Saree For Party Wear Packaging: Plastic Bottle,Ladies Assam Silk Saree For Party Wear,,,,,Spring Other Summer Winter Rainy,,,,,10000 Per Week,,,,,,,,False,ladies assam silk saree for party wear packaging plastic bottle,,60
,,,Textile,,Red,SUKARNA,,,7 Days,,,,,,,,All India,,Silk,,,,,Casual,,,Printed,Cash in Advance (CID),,,,https://www.tradeindia.com/products/carrot-red-kanjivaram-saree-c9105464.html,Silk Carrot Red Kanjivaram Saree,Carrot Red Kanjivaram Saree,,,,,Spring Summer Winter Rainy,,,,,5000 Per Month,,,,,,,,False,silk carrot red kanjivaram saree,,61
,,,Textile,,,VIVEK TEXTILES,,,7 Days,,,,,,,,All India,Australia North America South America Eastern Europe Western Europe Middle East Central America Africa Asia,,,,,,,,,,Cash Against Delivery (CAD) Cash on Delivery (COD) Paypal Delivery Point (DP) Letter of Credit (L/C) Western Union Letter of Credit at Sight (Sight L/C) Telegraphic Transfer (T/T) Days after Acceptance (DA) Cash in Advance (CID) Cheque Cash Advance (CA),,,,https://www.tradeindia.com/products/munga-print-c3931581.html,"Munga Print Saree - Foil Print D No.1125, 42"" Length, Washable, Stylish Plain Texture, Perfect for Clothing",,,,True,Sample costs shipping and taxes has to be paid by the buyer,,,,,Plain,,,,,,,,,False,munga print saree  foil print d no1125 42 length washable stylish plain texture perfect for clothing,,62
,,,Textile,,,BIOWASTE SOLUTION,,,7 Days,Plain,,,Biodegradable Recyclable,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/saree-cover-pack-of-12-c10400206.html,"Saree Cover Set - Customizable Sizes, Colors & Designs | Biodegradable, Recyclable, Flexiloop Handle, Pack of 12",Bags,,,,,,,Different available,,,5000 Per Month,,,,,,,,False,saree cover set  customizable sizes colors  designs  biodegradable recyclable flexiloop handle pack of 12,,63
,,,Textile,,Various sizes are available,CAPION GLOBAL PRIVATE LIMITED,,,5 Days,,,,,,,,,,,,,,,Party Wear,Standard,,,Cheque Cash Advance (CA) Cash in Advance (CID),,,,https://www.tradeindia.com/products/kanjivaram-jacquard-saree-8650874.html,"Kanjivaram Jacquard Saree - Soft Touch Fabric, Various Sizes Available | Wrinkle Free, No Color Fade, Ideal for Gifting, Perfect for All Seasons",Kanjivaram Jacquard Saree,,,,Contact us for information regarding our sample policy,Spring Other Summer Winter Rainy,,,,,,,,,,,,,False,kanjivaram jacquard saree  soft touch fabric various sizes available  wrinkle free no color fade ideal for gifting perfect for all seasons,,64
,,,Textile,,,SAI EXPORT,,,,,,,,,,,All India,Asia,,,,,,,,,,Cash on Delivery (COD) Cash Against Delivery (CAD) Cheque Cash Advance (CA),,,,https://www.tradeindia.com/products/ladies-plain-saree-4394302.html,Ladies Plain Saree,,,,True,Free samples are available,,,,,,,,,,,,,,False,ladies plain saree,,65
,SAREE MALL ( A Brand of AARSH LIFESTYLE PRIVATE LIMITED),,Textile,,Yellow,SAREE MALL ( A BRAND OF AARSH LIFESTYLE PRIVATE LIMITED),,INR,3-4 Days,,,,,0%,,,All India,,Silk,59,59,59,59,Casual,,,Printed,Cash Advance (CA),,1010.00 INR (Approx.),fixed,https://www.tradeindia.com/products/womens-silk-blend-mustard-woven-design-saree-with-blouse-piece-c8743135.html,"Womens Silk Blend Saree - Lightweight Breathable Fabric, Mustard Yellow Woven Design with Matching Blouse Piece",Designer Saree,59 Piece/Pieces,False,,,,,,295,,100 Per Week,,,Piece/Pieces,,,,,False,womens silk blend saree  lightweight breathable fabric mustard yellow woven design with matching blouse piece,,66
,Parvati,,Textile,Other,Multicolor,PARVATI FABRICS LTD.,,INR,,,,Other,,0%,,,All India,Asia,Silk,46,46,46,46,Party Wear,,,Other,Telegraphic Transfer (T/T),,1295.00 INR (Approx.),fixed,https://www.tradeindia.com/products/women-silk-saree-c9292245.html,Silk Banarasi Saree - Multicolor Zari Work Design | Glamorous Party Wear for Sophisticated Modern Style,Saree,46 Piece/Pieces,False,,,Other,,,230,Banarasi,,,,Piece/Pieces,,,,Zari Work,False,silk banarasi saree  multicolor zari work design  glamorous party wear for sophisticated modern style,,67
,,,Textile,,,AROMAVALLEY TRADE PRIVATE LIMITED,,,,,,,,,,,,,Metal,,,,,,,,,Others Cheque,,,,https://www.tradeindia.com/products/bike-metal-chain-cover-7235399.html,Bike Metal Chain Cover Vehicle Type: Bajaj,Two Wheeler Chain Cover Other,,,,Contact us for information regarding our sample policy,,,,,,,,Other Chain Cover,,,,,,False,bike metal chain cover vehicle type bajaj,,68
,,,Textile,,,UMAKRUPA PLAST,,,7 Days,,,,,,,,,,,,,,,,as per customer,,,Paypal Others,,,,https://www.tradeindia.com/products/plastic-saree-packing-container-6168808.html,Plastic Saree Packing Container,,,,True,Free samples are available,,,,,,,,,,,,,,False,plastic saree packing container,,69
,,,Textile,,Different Available,K C ASTIR & CO PVT LTD,,,10 Days,,,,,,,,All India,,,,,,,,,,Embroidered,Cash on Delivery (COD),,,,https://www.tradeindia.com/products/saree-crochet-strips-c8484083.html,"Saree Crochet Strips - Cotton or Silk with Custom Designs | Reversible, Embroidered Patterns, Available in Various Colors and Sizes",Laces,,,,,,,Different Available,,,5000 Per Month,,Reversible,,,,,,False,saree crochet strips  cotton or silk with custom designs  reversible embroidered patterns available in various colors and sizes,,70
,,,Textile,,Blue,NILESH RIBBON INDUSTRIES,,,4-5 Days,,,Cotton,,,,,All India,Australia Western Europe Middle East Central America South America Asia Eastern Europe North America Africa,Nylon,,,,,,Box,,Striped,Cash on Delivery (COD) Cash Advance (CA) Cash in Advance (CID) Cheque,,,,https://www.tradeindia.com/products/fancy-saree-border-lace-c4318976.html,"Fancy Saree Border Lace - Nylon & Silk Blend, Size 20 mm, Blue Color | One-Sided, Striped Pattern Design Options Available",Fancy Saree Border Lace,,,True,Free samples are available,,Rectangle,20 mm,,,5000 Per Day,,One Sided,,,,,,False,fancy saree border lace  nylon  silk blend size 20 mm blue color  onesided striped pattern design options available,,71
,,,Textile,,Golden,LALWALA RAJDHANI LACE & BORDER,,,3 Days,,,,,,,,All India,Asia,,,,,,,Packaging Box,,,Cash Against Delivery (CAD) Cash on Delivery (COD) Cash Advance (CA) Cash in Advance (CID) Cheque,,,,https://www.tradeindia.com/products/metallic-zari-laces-for-saree-349376.html,Golden Metallic Zari Laces For Saree,Laces,,,,,,,Various Sizes Available,,,,,One Sided,,,,,,False,golden metallic zari laces for saree,,72
,,,Textile,,Golden Green Red,ONLINE FASHION,,,3 Days,,,Cotton Silk,,,,,All India,Asia Central America North America South America Eastern Europe Western Europe Middle East Australia Africa,Silk,,,,,Party Wear,,,,Cash Against Delivery (CAD),,,,https://www.tradeindia.com/products/pure-mercerised-cotton-silk-ladies-saree-8508126.html,Party Wear Pure Mercerised Cotton Silk Ladies Saree,Pure Mercerised Cotton Silk Ladies Saree,,,True,,Summer Spring,,,,,1000 Per Day,,,,,,,,False,party wear pure mercerised cotton silk ladies saree,,73
,R K ENTERPRISE,,Textile,,White,G K ENTERPRISE,,INR,5 Days,,,,Moisture Proof,18%,,,[ ' A l l d i a ' I n ],,,500,500,500,500,,,1,,,,138.00 INR (Approx.),fixed,https://www.tradeindia.com/products/uncoated-paper-for-saree-shirt-wrapping-c10086762.html,"Uncoated Paper for Saree / Shirt Wrapping - 60 Thickness, White Color | Moisture Proof, Uncoated Surface, Customizable Size, Versatile for Baking & Crafts",,500 Piece/Pieces,False,False,,,1 SIDE,,10000,,10000 Per Month,,,Piece/Pieces,,,11.00 Kilogram,,False,uncoated paper for saree  shirt wrapping  60 thickness white color  moisture proof uncoated surface customizable size versatile for baking  crafts,,74
,,,Textile,,Multicolor,PERI BAGS,,INR,5-7 Days,Printed,,,,0%,,,All India,,Other PVC,60,60,60,60,,,1,,Cash in Advance (CID),,175.00 INR (Approx.),fixed,https://www.tradeindia.com/products/printed-saree-storage-bag-c10640946.html,Printed Saree Storage Bag - Color: Multicolor,,60 Piece/Pieces,False,,,,,15 x 9 x 18 Inch,300,,1000 Per Month,,,Piece/Pieces,,,,,False,printed saree storage bag  color multicolor,,75
,,,Textile,Other,YELLOWPINKORANGESEA-GREEN CREAM,VISHNU WEAVES,,,6 Days,FLORAL,,Khadi,,,WOMEN,,All India,,MUGA COTTON,,,,,Festive,,,FLORAL WEAVING,,,,,https://www.tradeindia.com/products/muga-cotton-saree-c10868344.html,MUGA COTTON SAREE,SAREE,,,True,Sample costs shipping and taxes has to be paid by the buyer,Spring Summer Winter Rainy,,FREE SIZE,,WEAVING,1000 Per Day,,,,,,,Other,False,muga cotton saree,,76
,,,Textile,,Orange,AMARDEEP UDYOG,,,5-7 Days,,,,,,Female,,All India,,Cotton,,,,,Formal,,,Plain,Cash in Advance (CID),,,,https://www.tradeindia.com/products/ladies-plain-saree-c10688324.html,Ladies Plain Saree - Color: Orange,,,,,,,,,,,1000 Per Month,,,,,,,,False,ladies plain saree  color orange,,77
,AFREET ONLINE SERVICES PRIVATE LIMITED,,Textile,,Grey,AFREET ONLINE SERVICES PRIVATE LIMITED,,INR,7 Days,,,,Dry Cleaning Washable No Fade Quick Dry,0%,,,All India,,,40,40,40,40,,,,Plain,Cash Advance (CA),,1500.00 INR (Approx.),fixed,https://www.tradeindia.com/products/ladies-saree-c5991838.html,Grey Ladies Saree,Saree,40 Piece/Pieces,False,,,All Season,,,200,,5000 Per Month,,,Piece/Pieces,,,,,False,grey ladies saree,,78
,,,Textile,,,BIZCOVERINDIA.COM LLP,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/high-quality-sungudi-sarees-c9295485.html,High quality sungudi sarees,,,,,,,,,,,,,,,,,,,False,high quality sungudi sarees,,79
,Aanandini Paithani,,Textile,,Different Available,AANANDINI PAITHANI,,INR,10 Days,,,,,0%,,,All India,,Silk,1,1,1,1,Designer,,,Printed,Cash in Advance (CID),,95000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/paithani-silk-butta-yellowish-green-saree-c10139064.html,"Paithani Silk Butta Saree - Luxurious Hand Embroidery, Timeless Printed Design in Yellowish Green | Perfect for Weddings, Parties, and Festivals",,1 Piece/Pieces,False,,,,,,5,,5000 Per Month,,,Piece/Pieces,,,,Hand Embroidery,False,paithani silk butta saree  luxurious hand embroidery timeless printed design in yellowish green  perfect for weddings parties and festivals,,80
,,,Textile,,Different Available,SUKARTIK CLOTHING PVT. LTD.,,,7 - 10 Days,Modern,,Nylon,Washable,,,,All India,,NYLON SPANDEX,,,,,,,,Plain,Cash in Advance (CID),,,,https://www.tradeindia.com/products/ladies-seamless-saree-shaper-with-drawcord-c10754158.html,Ladies Seamless Saree Shaper With Drawcord - Color: Different Available,,,,,,,,SMLXL,,,,,,,,,,,False,ladies seamless saree shaper with drawcord  color different available,,81
,,,Textile,Other,5 color,DEVANSHI SAREES PVT. LTD.,,,,,,Tissue,dry wash,,Female,,All India,,art tissue,,,,,Party Wear,,,Printed,Cash in Advance (CID),,,,https://www.tradeindia.com/products/digital-printed-saree-c10385250.html,Tusser Tissue Pitta Work Fancy Saree - Color: 5 Color,,,,,,Spring Winter Rainy,,6.5,,pita woek.,1000 Per Month,,,,,,,Zari Work,False,tusser tissue pitta work fancy saree  color 5 color,,82
,INDIA WHOLESALE BAZAR,,Textile,,MULTICOLOR,MONIMAYA GRAM UDYOG,,INR,1 Week,ELEGANTLY BEAUTIFUL,,,GORGEOUS SAREE,5%,FEMALE,,Lakshadweep Mizoram Meghalaya Dadra and Nagar Haveli Andaman and Nicobar Islands Rajasthan Sikkim Tamil Nadu Telangana Tripura Pondicherry South India Manipur Andhra Pradesh Bihar Chandigarh Goa Jharkhand Arunachal Pradesh Central India West India North India East India Gujarat Karnataka Kerala Daman and Diu Odisha Punjab Assam Delhi All India Chhattisgarh Haryana Himachal Pradesh Maharashtra Nagaland Jammu and Kashmir Madhya Pradesh Uttar Pradesh Uttarakhand West Bengal,Asia Australia Central America North America South America Eastern Europe Western Europe Middle East Africa,BANARASI SILK,30,30,30,30,,BOX/ CARTON,1,,Others Paypal Cash Advance (CA) Days after Acceptance (DA) Cash in Advance (CID) Cheque Delivery Point (DP) Western Union,,333.33 INR (Approx.),fixed,https://www.tradeindia.com/products/women-s-banarasi-saree-c10360625.html,"WOMEN'S BANARASI SAREE - Banarasi Silk, 6 Yards, Multicolor | Elegantly Beautiful Design, Gorgeous Texture with Image Prints",BANARASI SAREE,30 Piece/Pieces,False,False,,,,6 YARDS,150,SILK SAREE,100 Per Week,,,Piece/Pieces,,,450.00 Gram,,False,womens banarasi saree  banarasi silk 6 yards multicolor  elegantly beautiful design gorgeous texture with image prints,,83
,,,Textile,,Multicolor Available,RP CREATIONS,,INR,5-7 Days,,,,,0%,Women,,[ ' A l l I n d i a ' ],[ ],Cotton,100,100,100,100,W e a r ' ] [ ' D a i l y,,1,Printed,[ ' C a s h i n A d v a n c e ( C I D ) ' ],,900.00 INR (Approx.),fixed,https://www.tradeindia.com/products/designer-kalamkari-saree-c10104144.html,"Designer Kalamkari Saree - High-Quality Cotton, Multicolor Print | Lightweight, Elegant, Perfect for Summer Daily Wear",Designer Kalamkari Saree,100 Piece/Pieces,False,,,[ ' S u m m e r ' ],,,5,,1000 Per Month,,,Piece/Pieces,,,,,False,designer kalamkari saree  highquality cotton multicolor print  lightweight elegant perfect for summer daily wear,,84
,,,Textile,,As Per Requirement,UNITED INDUSTRIES,,,10 Days,,,,,,,,South India Madhya Pradesh Tamil Nadu Central India Karnataka Telangana Kerala Andhra Pradesh Odisha,,Plastic,,,,,,,,,Cash Advance (CA),PP,,,https://www.tradeindia.com/products/plastic-saree-storage-boxes-c10325638.html,"Plastic Saree Storage Boxes - Virgin Grade Polypropylene | Eco-Friendly, Heat Resistant, Attractive Designer Style, Built-In Handles for Easy Access",,,,,,,,,,Attractive / Designer,5000 Per Month,,,,,,,,False,plastic saree storage boxes  virgin grade polypropylene  ecofriendly heat resistant attractive designer style builtin handles for easy access,,85
,,,Textile,,Transparent,FOREVER ENTERPRISES,,,1-7 Days,,,,,,,,,,Other,,,,,,,,,,,,,https://www.tradeindia.com/products/saree-packaging-bag-c8463126.html,"Saree Packaging Bag - PVC Material, Embossed Surface, Zipper Closure, Transparent Color, Loop Handle",Saree Packaging Bag,,,,,,,,,,,,,,,,,,False,saree packaging bag  pvc material embossed surface zipper closure transparent color loop handle,,86
,,,Textile,,,RAHUL PLASTICS,,,10 Days,,,,,,,,All India,,,,,,,,,,,,,,,https://www.tradeindia.com/products/plastic-saree-brooch-c6606888.html,"Plastic Saree Brooch - Plastic Cover, 1 Inch Length, Stainless Steel Base | Fashion Pin for Sarees, Alluring Design, Various Sizes Available",,,,,,,,Different Size Available,,,500 Per Day,,,,,,,,True,plastic saree brooch  plastic cover 1 inch length stainless steel base  fashion pin for sarees alluring design various sizes available,,87
,,,Textile,,Multicolor,SRITHA GANESH ENTERPRISES,,INR,5 Days,,Handloom,Other,,0%,,,,,Silk,2,2,2,2,Ethnic,,1,Plain,Cash Advance (CA) Cash in Advance (CID),,5000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/kanchipuram-silk-sarees-9499800.html,Kanchipuram Silk Sarees - Occasion: Ethnic,Kanchipuram Silk Sarees,2 Piece/Pieces,False,,Within a certain price range free samples are available,Other Other Winter Summer Spring,,,10,Handloom,40 Per Week,,,Piece/Pieces,,,,Thread Work,False,kanchipuram silk sarees  occasion ethnic,,88
,,,Textile,Laces,Pink,ARRON CREATS,,,1 Week,,,,,,,,All India,,Silk,,,,,,,,Printed,Cash in Advance (CID) Cheque Cash Advance (CA),,,,https://www.tradeindia.com/products/party-wear-sarees-c1718810.html,Pink Party Wear Sarees,Party Wear Sarees,,,True,Contact us for information regarding our sample policy,,,,,Bollywood,100 Per Day,,,,,,,Zari Work,False,pink party wear sarees,,89
,,,Textile,Laces,Multicolor,DSG WORLD FASHION WEAR,,,7 Days,,,,Good quality,,Women,,All India,,Silk,,,,,,,,Printed,Cash in Advance (CID),,,,https://www.tradeindia.com/products/ladies-party-wear-banarasi-silk-saree-c10473174.html,"Ladies Party Wear Banarasi Silk Saree - High-Quality Silk Material, Multicolor Printed Pattern | Laces Closure, Elegant Banarasi Style, All-Season Wear",,,,,,Summer Winter Spring,,,,Banarasi,100 Per Month,,,,,,,,False,ladies party wear banarasi silk saree  highquality silk material multicolor printed pattern  laces closure elegant banarasi style allseason wear,,90
,,,Textile,,Different Available,SONIYA ENTERPRISES,,,10 Days,,,,,,,,All India,,Silk,,,,,Designer,,,Printed,Cash on Delivery (COD),,,,https://www.tradeindia.com/products/ladies-designer-silk-saree-c8930431.html,Different Available Ladies Designer Silk Saree,,,,,,Summer Winter,,,,,5000 Per Month,,,,,,,,False,different available ladies designer silk saree,,91
,,,Textile,,as per requirement,MATRUSHREE NARROW FABRICS,,,7-10 Days,,,Cotton,,,,,All India,,Cotton,,,,,,,,Embroidered,,,,,https://www.tradeindia.com/products/embroidery-saree-lace-c9940861.html,"Embroidery Saree Lace - Polyester Material , One Sided Embroidered Pattern in Custom Colors",Laces,,,,,,,,,,1000 Per Month,,One Sided,,,,,,False,embroidery saree lace  polyester material  one sided embroidered pattern in custom colors,,92
,,,Textile,,,SAMARTH INDUSTRIES,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/13x16x2-5-inch-saree-plastic-packaging-box-c7396131.html,Pvc 13X16X2.5 Inch Saree Plastic Packaging Box,,,,,,,,,,,,,,,,,,,False,pvc 13x16x25 inch saree plastic packaging box,,93
,STAR FISH INDIA LAUNDRY MACHINES PRIVATE LIMITED,,Textile,,,STAR FISH INDIA LAUNDRY MACHINES PRIVATE LIMITED,,INR,,,,,,18%,,,All India,,Mild steel,1,1,1,1,,,,,,,300000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/sspsg-1400-gas-single-roller-saree-polishing-with-starch-spray-c9850157.html,Sspg4 1400 Gas Single Roller Saree Polishing With Starch Spray - Material: Mild Steel,,1 Piece/Pieces,False,,,,,2100 x 1060 x1250mm,5,,10 Per Month,,,Piece/Pieces,Laundry,,400 Kilograms (kg),,False,sspg4 1400 gas single roller saree polishing with starch spray  material mild steel,,94
,,,Textile,Laces,Orange And Pink,BANDHANIWALA TRADING CO.,,,As per customer need Week,,,Cotton Silk,,,,,All India,Australia North America South America Eastern Europe Western Europe Middle East Africa Asia Central America,,,,,,,Poly Bag,,Printed,Cash on Delivery (COD) Cash in Advance (CID) Cheque Cash Advance (CA),,,,https://www.tradeindia.com/products/traditional-bandhani-sarees-c3611349.html,"Traditional Bandhani Sarees - Synthetic Silk, 6.25mm with Blouse, Orange and Pink Color | Hand Embroidery, Printed Pattern, Suitable for All Seasons",Sarees,,,True,Sample costs shipping and taxes has to be paid by the buyer,Summer Rainy Winter,,,,Bandhani,150 Per Day,,,,,,,Hand Embroidery,False,traditional bandhani sarees  synthetic silk 625mm with blouse orange and pink color  hand embroidery printed pattern suitable for all seasons,,95
,,,Textile,,,EA PACKAGING INDIA PVT. LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/saree-packaging-bags-c6325745.html,Saree Packaging Bags,,,,,,,,,,,,,,,,,,,False,saree packaging bags,,96
,,,Textile,,Multicolor,MAHAVEER BOX WALA,,,7 Days,Modern,,,,,,,All India,,,,,,,,,,,Cash in Advance (CID),,,,https://www.tradeindia.com/products/sb-029-sanskriti-sarees-ultrasonic-bags-c10526683.html,Sb 029 Sanskriti Sarees Ultrasonic Bags - Color: Multicolor,,,,,,,,Different available,,,5000 Per Month,,,,,,,,False,sb 029 sanskriti sarees ultrasonic bags  color multicolor,,97
,,,Textile,,Multicolor,LOB KUMAR SAHA,,,5 Days,,,Khadi,Skin Friendly,,Ladies,,All India,,Cotton,,,,,,,,Printed,Cash in Advance (CID) Cheque Days after Acceptance (DA),,,,https://www.tradeindia.com/products/ladies-printed-khadi-sarees-9276994.html,"Ladies Printed Khadi Sarees - Cotton Fabric, Multicolor, Machine Washable | Anti Shrink, Easy To Clean, Skin Friendly, Colorfastness",Printed Khadi Sarees,,,,,Other,,,,,500 Per Week,,,,,,,,False,ladies printed khadi sarees  cotton fabric multicolor machine washable  anti shrink easy to clean skin friendly colorfastness,,98
,,,Textile,,White,T.S.A COLLECTION,,,10 Days,,,,,,,,,,,,,,,,,,Embroidered,Cash Against Delivery (CAD) Others Cash on Delivery (COD) Cash Advance (CA) Cash in Advance (CID) Cheque,,,,https://www.tradeindia.com/products/attractive-design-fine-finish-comfortable-sarees-7997766.html,"Attractive Design Fine Finish Comfortable Sarees - Embroidered Cotton Blend, White Color | Machine Washable, Stone Work, Suitable for Summer & Winter",Saree,,,,Contact us for information regarding our sample policy,Summer Winter,,,,,10 Per Day,,,,,,,Stone Work,False,attractive design fine finish comfortable sarees  embroidered cotton blend white color  machine washable stone work suitable for summer  winter,,99
,,,Textile,,,AIRBORNE INTERNATIONAL COURIER SERVICES,,,3-4 Days,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/saree-courier-service-c8317486.html,Saree Courier Service,,,,,,,,,,,100000 Per Month,,,,,,,,False,saree courier service,,100
,,,Textile,,Multicolor,ELITE EXIM,,,7 Days,Modern,,,High Quality,,Ladies,,All India,,,,,,,,,,Printed,Cash in Advance (CID),,,,https://www.tradeindia.com/products/pochampally-ikkath-sarees-c10549618.html,Pochampally Ikkath Sarees - Color: Multicolor,,,,,,,,,,,5000 Per Month,,,,,,,,False,pochampally ikkath sarees  color multicolor,,101
,zeel,,Textile,Sequins,,H K FASHION,,INR,,,,Other,,0%,,,All India,Australia North America South America Eastern Europe Western Europe Middle East Africa Central America Asia,Georgette,100,100,100,100,Party Wear,,1,Embroidered,Others Cash Advance (CA),,2899.00 INR (Approx.),fixed,https://www.tradeindia.com/products/party-wear-saree-c7188478.html,Georgette Party Wear Sarees,SAREE,100 Piece/Pieces,False,,,Summer Winter Rainy Spring Other,,,300,Bollywood,,,,Piece/Pieces,,,,Sequin Work,False,georgette party wear sarees,,102
,,,Textile,,,KRUGER METAFORM INDIA PRIVATE LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/clothing-stand-c7404922.html,Saree Hanging Counter,,,,,,,,,,,,,,,,,,,False,saree hanging counter,,103
,SHIVAAY CREATION,,Textile,,Black,SHIVAAY CREATION,,INR,7-10 Days,,,Art Silk,,0%,Female,,,,Georgette,40,40,40,40,Party Wear,,,Embroidered,,,1500.00 INR (Approx.),fixed,https://www.tradeindia.com/products/4135-ladies-sarees-c10136202.html,4135 Ladies Sarees - Color: Black,Saree,40 Piece/Pieces,False,,,,,,200,Designer,5000 Per Month,,,Piece/Pieces,,,,Sequin Work,False,4135 ladies sarees  color black,,104
,,,Textile,,,SADABAHAR FASHION,,,7 Days,,surat,,Breathable Washable,,,,Dadra and Nagar Haveli Himachal Pradesh Andaman and Nicobar Islands Nagaland Uttarakhand Daman and Diu Lakshadweep Delhi Gujarat South India East India Andhra Pradesh Assam Arunachal Pradesh Chandigarh Goa Jammu and Kashmir Jharkhand Kerala Madhya Pradesh Maharashtra Mizoram Meghalaya Manipur Punjab Pondicherry Sikkim Tamil Nadu Tripura West Bengal Karnataka Haryana Rajasthan North India Bihar Telangana Central India Odisha West India Chhattisgarh Uttar Pradesh All India,,Silk,,,,,,single pieces,,Printed,Cash Advance (CA) Others Paypal Cash in Advance (CID),,,,https://www.tradeindia.com/products/dola-silk-saree-c7686053.html,"Dola Silk Saree - Heavy Dola Silk Fabric with Piping & Multi Embroidery, Breathable and Washable, Customized Logo",saree,,,,,All Season,,Customized,,,1000 Per Day,,,,,,,,False,dola silk saree  heavy dola silk fabric with piping  multi embroidery breathable and washable customized logo,,105
,,,Textile,,,SIDHARTH TEXTILE,,,2-10 Days,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/hand-bandhani-sarees-c6268287.html,Hand Bandhani Sarees,,,,,,,,,,,200 Per Week,,,,,,,,False,hand bandhani sarees,,106
,Rangolli Design,,Textile,None Other,Multicolor (Maroon Green Yellow),RANGOLLI DESIGN,,INR,,,,Other Handloom,,0%,,,,,Cotton,100,100,100,100,Other Casual Festive,,1,Solid with Kantha Work Other,,,2000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/kantha-work-on-handloom-saree-c7841201.html,Kantha work on handloom saree,Saree,100 Number,False,,,Other All Seasons,,,300,Other Traditional,,,,Number,,,,Other Kantha Work,False,kantha work on handloom saree,,107
